	GAME_ID	Date	AB	H
1	TBA201403310	3310	4	1
2	TBA201404010	4010	5	2
3	TBA201404020	4020	5	2
4	TBA201404030	4030	4	1
5	TOR201404040	4040	4	1
6	TOR201404050	4050	4	2
7	TOR201404060	4060	5	1
8	TOR201404080	4080	4	1
9	TOR201404090	4090	5	2
10	TOR201404100	4100	5	2
11	BAL201404110	4110	4	1
12	BAL201404120	4120	6	2
13	BAL201404130	4130	6	2
14	MIN201404150	4150	4	1
15	MIN201404171	4171	4	0
16	MIN201404172	4172	4	1
17	CLE201404180	4180	5	4
18	CLE201404190	4190	5	2
19	CLE201404200	4200	4	2
20	TOR201404220	4220	5	1
21	TOR201404230	4230	5	3
22	TOR201404240	4240	3	1
23	TOR201404250	4250	4	1
24	TOR201404260	4260	5	1
25	TOR201404270	4270	4	2
26	KCA201404290	4290	5	2
27	KCA201404300	4300	2	0
28	PIT201405020	5020	5	1
29	PIT201405030	5030	4	0
30	PIT201405040	5040	5	3
31	PHI201405050	5050	4	2
32	PHI201405060	5060	4	1
33	TOR201405070	5070	4	0
34	TOR201405080	5080	5	2
35	TOR201405090	5090	3	2
36	TOR201405100	5100	4	1
37	TOR201405110	5110	4	1
38	TOR201405120	5120	3	1
39	TOR201405130	5130	2	0
40	TOR201405140	5140	4	1
41	TOR201405150	5150	5	0
42	TEX201405160	5160	2	1
43	TEX201405170	5170	5	0
44	TEX201405180	5180	4	1
45	BOS201405200	5200	5	4
46	BOS201405210	5210	5	1
47	BOS201405220	5220	3	1
48	TOR201405230	5230	4	0
49	TOR201405240	5240	4	2
50	TOR201405250	5250	3	0
51	TOR201405260	5260	3	3
52	TOR201405270	5270	5	1
53	TOR201405280	5280	4	0
54	TOR201405290	5290	4	2
55	TOR201405300	5300	5	0
56	TOR201405310	5310	4	1
57	TOR201406010	6010	4	1
58	DET201406030	6030	4	0
59	DET201406040	6040	5	3
60	DET201406050	6050	5	1
61	TOR201406060	6060	5	1
62	TOR201406070	6070	4	2
63	TOR201406080	6080	3	0
64	TOR201406090	6090	4	1
65	TOR201406100	6100	4	1
66	TOR201406110	6110	4	1
67	BAL201406120	6120	3	1
68	BAL201406130	6130	4	1
69	BAL201406140	6140	5	0
70	BAL201406150	6150	4	0
71	NYA201406170	6170	4	1
72	NYA201406180	6180	3	2
73	NYA201406190	6190	4	2
74	CIN201406200	6200	4	2
75	CIN201406210	6210	4	1
76	CIN201406220	6220	4	2
77	TOR201406230	6230	5	2
78	TOR201406240	6240	4	0
79	TOR201406250	6250	4	2
80	TOR201406260	6260	3	1
81	TOR201406270	6270	5	2
82	TOR201406280	6280	5	0
83	TOR201406290	6290	1	0
84	TOR201407010	7010	4	1
85	TOR201407020	7020	4	2
86	OAK201407030	7030	3	0
87	OAK201407040	7040	5	1
88	OAK201407050	7050	4	2
89	OAK201407060	7060	4	1
90	ANA201407070	7070	4	2
91	ANA201407080	7080	4	1
92	ANA201407090	7090	3	1
93	TBA201407110	7110	4	2
94	TBA201407120	7120	5	0
95	TBA201407130	7130	3	1
96	TOR201407180	7180	4	1
97	TOR201407190	7190	4	3
98	TOR201407200	7200	5	3
99	TOR201407210	7210	2	0
100	TOR201407220	7220	5	3
101	TOR201407230	7230	3	0
102	TOR201407240	7240	4	3
103	NYA201407250	7250	4	1
104	NYA201407260	7260	4	1
105	NYA201407270	7270	5	2
106	BOS201407280	7280	4	2
107	BOS201407290	7290	5	1
108	BOS201407300	7300	4	2
109	HOU201407310	7310	4	1
110	HOU201408010	8010	3	1
111	HOU201408020	8020	4	1
112	HOU201408030	8030	4	0
113	TOR201408050	8050	4	2
114	TOR201408060	8060	4	3
115	TOR201408080	8080	5	1
116	TOR201408090	8090	4	2
117	TOR201408100	8100	5	3
118	SEA201408110	8110	4	0
119	SEA201408120	8120	4	2
120	SEA201408130	8130	4	0
121	CHA201408150	8150	5	1
122	CHA201408160	8160	5	2
123	CHA201408170	8170	4	2
124	MIL201408190	8190	4	0
125	MIL201408200	8200	5	2
126	TOR201408220	8220	3	0
127	TOR201408230	8230	4	2
128	TOR201408240	8240	5	0
129	TOR201408250	8250	4	1
130	TOR201408260	8260	6	2
131	TOR201408270	8270	4	0
132	TOR201408290	8290	4	0
133	TOR201408300	8300	4	1
134	TOR201408310	8310	4	1
135	TBA201409020	9020	5	1
136	TBA201409030	9030	4	0
137	TBA201409040	9040	4	0
138	BOS201409050	9050	1	1
